Código,Nome
PMAM3,Paranapanema
HBRE3,HBR Realty
EALT4,Electro Aço Altona
TASA3,Taurus
SGPS3,SPRINGS
GGBR3,Gerdau
ALUP3,Alupar
DOTZ3,Dotz
UNIP3,Unipar
ALLD3,Allied
BEES3,Banestes
CGRA3,Grazziotin
RDNI3,RNI
LAND3,Terra Santa
RPMG3,Refinaria de Manguinhos
HAGA4,Haga
CAMB3,Cambuci
CEBR6,CEB
ENGI3,Energisa
BOBR4,Bombril
COCE5,Coelce
CEDO4,Cedro Têxtil
ATOM3,ATOM
CTNM4,Coteminas
IGBR3,IGB S/A
NEXP3,Brasil Brokers
CTSA4,Santanense
SCAR3,São Carlos
BPAC3,Banco BTG Pactual
BAZA3,Banco da Amazônia
BRKM3,Braskem
DEXP4,Dexxos
OSXB3,OSX BRASIL
CGRA4,Grazziotin
CTSA3,Santanense
REDE3,Rede Energia
BPAC5,Banco BTG Pactual
BIOM3,Biomm
AFLT3,Afluente T
MNPR3,Minupar
BRIV3,Alfa Investimento
PTNT4,Pettenati
OFSA3,Ourofino Saúde Animal
BEES4,Banestes
CEBR5,CEB
AVLL3,Alphaville
BRSR3,Banrisul
BAHI3,Bahema
MWET4,Wetzel
IGTI4,Jereissati Participações
IGTI4,Iguatemi
MGEL4,Mangels
HAGA3,Haga
EQMA3B,Equatorial Maranhão
EMAE4,EMAE
CRIV3,Alfa Financeira
CEDO3,Cedro Têxtil
JFEN3,João Fortes
TRPL3,Transmissão Paulista
HOOT4,Hotéis Othon
BGIP4,Banese
BMIN4,Banco Mercantil de Investimentos
ENMT4,Energisa MT
CEBR3,CEB
ENMT3,Energisa MT
CLSC4,CELESC
BALM4,Baumer
ALPA3,Alpargatas
RAPT3,Randon
SNSY5,Sansuy
TELB3,Telebrás
TELB4,Telebrás
WHRL4,Whirlpool
CRPG5,Tronox Pigmentos
WLMM4,WLM
CEEB3,COELBA
EQPA3,Equatorial Pará
EPAR3,EPAR3
BRIV4,Alfa Investimento
CALI3,Adolpho Lindenberg
PTNT3,Pettenati
TEKA4,Teka
BMEB4,Banco Mercantil do Brasil
EUCA3,Eucatex
CGAS5,Comgás
LIPR3,Eletropar
RSUL4,Metalúrgica Riosulense
MTSA4,METISA
RPAD6,Alfa Holdings
BNBR3,Banco do Nordeste
BGIP3,Banese
GEPA3,Rio Paranapanema Energia
SLED3,Saraiva
NORD3,Nordon
WHRL3,Whirlpool
UNIP5,Unipar
MNDL3,Mundial
ESTR4,Estrela
PEAB3,Participações Aliança da Bahia
CSRN3,COSERN
GEPA4,Rio Paranapanema Energia
AHEB3,São Paulo Turismo
BSLI4,Banco de Brasília
BDLL3,Bardella
CRIV4,Alfa Financeira
BMKS3,Monark
DOHL4,Döhler
JOPA3,Josapar
MOAR3,Monteiro Aranha
FRIO3,Metalfrio
EKTR4,Elektro
CGAS3,Comgás
CPLE5,COPEL
BAUH4,Excelsior
EALT3,Electro Aço Altona
FRTA3,Pomi Frutas
PEAB4,Participações Aliança da Bahia
JOPA4,Josapar
CEEB5,COELBA
BRSR5,Banrisul
BSLI3,Banco de Brasília
BRGE12,Consórcio Alfa
HETA4,Hercules
MERC4,Mercantil do Brasil Financeira
PLAS3,Plascar
CTKA4,Karsten
CSAB3,Cia. de Seg. Aliança da Bahia
CSAB4,Cia. de Seg. Aliança da Bahia
CLSC3,CELESC
GSHP3,General Shopping & Outlets
BMEB3,Banco Mercantil do Brasil
BRGE3,Consórcio Alfa
MAPT4,Cemepe
CRPG6,Tronox Pigmentos
CRDE3,CR2
CSRN5,COSERN
RPAD3,Alfa Holdings
TKNO4,Tekno
CEED3,CEEE D
CTNM3,Coteminas
FESA3,Ferbasa
SNSY3,Sansuy
PATI4,Panatlântica
USIM6,Usiminas
EKTR3,Elektro
CSRN6,COSERN
BRKM6,Braskem
CBEE3,Ampla Energia
CEED4,CEEE D
GPAR3,CELGPAR
BMIN3,Banco Mercantil de Investimentos
BALM3,Baumer
LUXM4,Trevisa
HBTS5,Habitasul
BDLL4,Bardella
MTSA3,METISA
BRGE8,Consórcio Alfa
BRGE11,Consórcio Alfa
MAPT3,Cemepe
DTCY3,Dtcom
SOND5,Sondotécnica
ELET5,Eletrobras
RPAD5,Alfa Holdings
PATI3,Panatlântica
EQPA7,Equatorial Pará
WLMM3,WLM
BRGE6,Consórcio Alfa
COCE3,Coelce
DMFN3,DMFN3
SOND6,Sondotécnica
MRSA5B,MRS Logística
WIZS3,WIZS3
LLIS3,LLIS3
MSPA3,Melhoramentos
BRML3,BRMalls
DMMO3,Dommo Energia
EQPA5,Equatorial Pará
GETT3,Getnet
GETT4,Getnet
SULA4,SulAmérica
SULA3,SulAmérica
MSPA4,Melhoramentos
AHEB6,São Paulo Turismo
CTKA3,Karsten
MRSA6B,MRS Logística
BRGE5,Consórcio Alfa
CRPG3,Tronox Pigmentos
MRSA3B,MRS Logística
MWET3,Wetzel
DOHL3,Döhler
CEPE5,CELPE
MERC3,Mercantil do Brasil Financeira
TCNO4,Tecnosolo
TCNO3,Tecnosolo
CEPE6,CELPE
BKBR3,BKBR3
MTIG4,Metalgráfica Iguaçu
BLUT4,Blue Tech Solutions
BLUT3,Blue Tech Solutions
MODL4,Banco Modal
CARD3,CARD3
FIGE3,Investimentos Bemge
FNCN3,Finansinos
CASN3,CASAN
TEKA3,Teka
HETA3,Hercules
LCAM3,Locamerica
BIDI4,Banco Inter
BIDI3,Banco Inter
EEEL4,CEEE GT
EEEL3,CEEE GT
BBRK3,BBRK3
SOND3,Sondotécnica
CEGR3,Naturgy (CEG)
CESP6,CESP
CESP3,CESP
CESP5,CESP
ECPR4,Encorpar
MOSI3,Mosaico
POWE3,Focus Energia
EQPA6,Equatorial Pará
ECPR3,Encorpar
GNDI3,NotreDame Intermédica
LAME4,Lojas Americanas
LAME3,Lojas Americanas
AHEB5,São Paulo Turismo
OMGE3,Omega Geração
IGTA3,IGTA3
JPSA3,JPSA3
BRDT3,BRDT3
JBDU4,JBDU4
JBDU3,JBDU3
HGTX3,Hering
CCPR3,CCPR3
DTEX3,DTEX3
VVAR3,VVAR3
PNVL4,Dimed
TESA3,Terra Santa
BTOW3,BTOW3
ESTR3,Estrela
LINX3,Linx
BTTL3,Embpar
GPCP3,GPCP3
GPCP4,GPCP4
SMLS3,Smiles
MMXM3,MMX Mineração
BSEV3,Biosev
CNTO3,CNTO3
TIET4,AES Tietê Energia
TIET3,AES Tietê Energia
CORR4,Corrêa Ribeiro
ODER4,Conservas Oderich
CEPE3,CELPE
CALI4,Adolpho Lindenberg
SNSY6,Sansuy
CASN4,CASAN
EMAE3,EMAE
BRGE7,Consórcio Alfa
BPAR3,Banpará
APTI4,Aliperti
VSPT3,FCA
MTIG3,Metalgráfica Iguaçu
FIGE4,Investimentos Bemge
LUXM3,Trevisa
TKNO3,Tekno
COCE6,Coelce
MGEL3,Mangels
CTSA8,Santanense
MMAQ4,Minasmáquinas
